amount,log_amount,amount_zscore,amount_vs_user_avg,amount_vs_user_std,is_high_amount,is_very_high_amount,user_tx_count,user_tx_last_hour,user_tx_last_day,velocity_ratio,hour,day_of_week,is_weekend,is_night,is_business_hours,merchant_risk_score,is_high_risk_location,is_high_risk_category,is_new_merchant,amount_x_merchant_risk,amount_x_night,is_fraud,user_id,merchant,category,location
1687.73,7.4317,3.5943,3.3291,3.513,1,0,160,7,13,2.0394,4,5,1,1,0,0.1189,1,0,0,0.4274,3.5943,0,USR-0002,Target,clothing,anonymous
296.51,5.6954,0.1163,1.487,2.3931,0,0,23,3,9,0.6783,10,0,0,0,1,0.2146,1,0,0,0.025,0.0,0,USR-0088,Amazon,clothing,anonymous
3124.14,8.0472,7.1854,4.1354,-3.1844,1,0,66,1,14,1.0216,8,1,0,0,0,0.0326,0,0,0,0.2342,0.0,0,USR-0158,McDonald's,retail,"San Francisco, US"
86.79,4.4749,-0.408,0.2314,-0.0272,0,0,25,7,19,0.9017,3,2,0,1,0,0.5027,1,0,0,-0.2051,-0.408,0,USR-0038,Uber,retail,Unknown Location
476.37,6.1683,0.5659,2.3727,-0.5133,0,0,230,4,4,1.4185,13,0,0,0,1,0.3244,0,0,0,0.1836,0.0,0,USR-0130,Target,food,"San Francisco, US"
341.81,5.8372,0.2295,1.2854,-0.0818,0,0,43,6,11,1.2609,10,2,0,0,1,0.01,0,1,1,0.0023,0.0,0,USR-0192,Uber,travel,"Austin, US"
877.73,6.7785,1.5693,-0.0643,-1.5446,0,0,59,1,4,0.8258,4,1,0,1,0,0.6182,0,0,1,0.9701,1.5693,0,USR-0188,Wire Transfer Co,healthcare,"Seattle, US"
1257.68,7.1378,2.5192,1.9259,-4.001,1,0,229,15,8,0.7625,2,0,0,1,0,0.01,0,0,1,0.0252,2.5192,0,USR-0021,Starbucks,clothing,"Austin, US"
1993.43,7.5981,4.3586,-0.3432,1.5372,1,0,72,6,5,2.5737,8,5,1,0,0,0.5314,0,1,1,2.3162,0.0,0,USR-0161,Uber,gambling,"Austin, US"
918.65,6.824,1.6716,2.0889,-1.2827,0,0,101,15,15,1.375,2,1,0,1,0,0.5447,1,0,0,0.9105,1.6716,0,USR-0058,Walmart,healthcare,offshore
849.11,6.7454,1.4978,2.8198,-0.9376,0,0,151,9,9,1.4356,11,2,0,0,1,0.1157,0,1,1,0.1733,0.0,0,USR-0022,Uber,gambling,"New York, US"
339.6,5.8307,0.224,0.9667,-1.4036,0,0,45,12,17,1.2342,0,1,0,1,0,0.6329,0,0,0,0.1418,0.224,0,USR-0089,Wire Transfer Co,food,"New York, US"
223.1,5.4121,-0.0673,1.4259,-0.6545,0,0,26,5,12,1.5517,0,1,0,1,0,0.5331,0,0,0,-0.0359,-0.0673,0,USR-0049,McDonald's,clothing,"Chicago, US"
1568.41,7.3585,3.296,2.6502,4.1578,1,0,305,12,3,0.7224,2,4,0,1,0,0.1299,1,0,0,0.4282,3.296,0,USR-0059,Starbucks,food,offshore
1212.26,7.1011,2.4056,2.2121,1.5009,1,0,130,12,16,1.0178,3,0,0,1,0,0.6487,1,0,0,1.5605,2.4056,0,USR-0170,PawnShop Plus,retail,offshore
1357.58,7.2142,2.7689,2.3641,2.5154,1,0,41,10,9,0.5693,2,2,0,1,0,0.6401,1,1,0,1.7724,2.7689,0,USR-0188,Wire Transfer Co,travel,offshore
701.84,6.5551,1.1296,-1.8106,-3.9405,0,0,315,15,5,2.2471,14,1,0,0,1,0.5853,0,1,1,0.6612,0.0,0,USR-0015,Unknown Vendor,crypto,"New York, US"
1146.74,7.0456,2.2418,2.8896,-0.6723,1,0,202,11,11,1.3678,16,1,0,0,1,0.01,0,0,0,0.0224,0.0,0,USR-0190,Uber,utilities,"Chicago, US"
554.05,6.3191,0.7601,-3.4208,3.0676,0,0,100,11,6,0.8708,8,3,0,0,0,0.6665,1,0,1,0.5066,0.0,1,USR-0190,Casino Royal,clothing,anonymous
435.12,6.0779,0.4628,-1.9679,1.9917,0,0,77,14,3,1.5609,15,5,1,0,0,0.01,1,0,0,0.0046,0.0,0,USR-0175,McDonald's,utilities,Unknown Location
492.72,6.202,0.6068,0.8729,2.1511,0,0,55,10,8,1.3963,11,0,0,0,1,0.01,0,0,0,0.0061,0.0,0,USR-0190,Amazon,retail,"Chicago, US"
1912.43,7.5567,4.1561,1.5943,-4.5976,1,0,45,5,9,0.6735,0,3,0,1,0,0.01,0,0,0,0.0416,4.1561,0,USR-0051,Walmart,utilities,"Austin, US"
116.72,4.7683,-0.3332,0.4589,0.673,0,0,35,3,7,2.6605,5,5,1,1,0,0.7311,0,1,1,-0.2436,-0.3332,0,USR-0108,Unknown Vendor,gambling,"Seattle, US"
2041.46,7.6219,4.4786,0.8745,-0.0763,1,0,46,15,17,0.6142,10,2,0,0,1,0.0777,0,1,1,0.348,0.0,0,USR-0055,Amazon,electronics,"San Francisco, US"
1680.87,7.4277,3.5772,3.2292,-6.4119,1,0,51,8,7,0.7056,1,3,0,1,0,0.1487,0,0,0,0.5319,3.5772,0,USR-0064,Target,clothing,"Seattle, US"
521.87,6.2593,0.6797,-5.2514,-0.9585,0,0,137,15,9,1.0284,2,5,1,1,0,0.3191,0,0,0,0.2169,0.6797,1,USR-0131,Starbucks,food,"New York, US"
1957.14,7.5798,4.2678,2.3214,2.2136,1,0,114,1,19,1.8781,0,6,1,1,0,0.685,0,1,1,2.9234,4.2678,0,USR-0051,PawnShop Plus,travel,"San Francisco, US"
93.51,4.5487,-0.3912,2.1627,3.3254,0,0,43,8,14,1.4396,18,1,0,0,0,0.01,0,1,0,-0.0039,-0.0,1,USR-0135,McDonald's,gambling,"Chicago, US"
1191.56,7.0839,2.3539,0.7191,0.0974,1,0,163,15,21,2.038,10,4,0,0,1,0.0747,1,1,1,0.1758,0.0,0,USR-0021,Target,gambling,Unknown Location
1545.32,7.3436,3.2383,0.2997,-0.897,1,0,118,15,13,0.702,12,2,0,0,1,0.2713,0,1,1,0.8786,0.0,0,USR-0073,Amazon,travel,"New York, US"
1811.83,7.5026,3.9046,0.7397,-0.7388,1,0,240,15,16,1.3758,17,6,1,0,0,0.1684,0,1,1,0.6575,0.0,0,USR-0167,Starbucks,electronics,"Chicago, US"
414.09,6.0285,0.4102,2.5225,-0.7823,0,0,88,14,15,0.8694,8,0,0,0,0,0.4748,1,0,0,0.1948,0.0,0,USR-0018,Uber,retail,anonymous
376.29,5.933,0.3157,0.5557,1.1362,0,0,41,4,7,1.112,12,1,0,0,1,0.1239,0,0,0,0.0391,0.0,0,USR-0132,Netflix,retail,"New York, US"
1590.41,7.3724,3.351,-0.1798,7.948,1,0,159,15,31,1.7671,6,4,0,0,0,0.01,1,0,0,0.0335,0.0,0,USR-0089,Amazon,food,anonymous
221.0,5.4027,-0.0725,-0.5759,0.385,0,0,47,11,5,2.4748,14,6,1,0,0,0.01,0,0,0,-0.0007,-0.0,0,USR-0060,Amazon,clothing,"Chicago, US"
1612.41,7.3861,3.406,-0.5344,-0.1524,1,0,213,2,8,1.6882,1,2,0,1,0,0.249,1,0,0,0.8481,3.406,0,USR-0014,Uber,retail,offshore
604.57,6.4062,0.8864,2.2785,3.2057,0,0,27,8,15,1.9594,1,3,0,1,0,0.5268,0,1,1,0.467,0.8864,0,USR-0009,Starbucks,gambling,"San Francisco, US"
189.82,5.2513,-0.1505,-3.4599,-1.1394,0,0,86,15,14,0.9481,6,3,0,0,0,0.0466,0,0,0,-0.007,-0.0,0,USR-0090,Starbucks,retail,"Chicago, US"
434.56,6.0766,0.4614,-0.1425,1.1458,0,0,30,15,5,0.8366,5,2,0,1,0,0.5429,0,0,1,0.2505,0.4614,1,USR-0053,Shell Gas,clothing,"Austin, US"
1440.37,7.2733,2.9759,1.379,-0.2391,1,0,217,11,4,1.1823,4,1,0,1,0,0.3314,0,1,1,0.9862,2.9759,0,USR-0130,McDonald's,electronics,"Chicago, US"
2089.5,7.6452,4.5988,2.1025,-3.4613,1,0,148,7,10,0.7779,4,2,0,1,0,0.86,1,0,0,3.955,4.5988,0,USR-0084,PawnShop Plus,clothing,offshore
616.31,6.4254,0.9158,-0.3763,-1.9812,0,0,253,15,19,0.5987,14,1,0,0,1,0.1926,0,1,1,0.1764,0.0,0,USR-0092,McDonald's,crypto,"Chicago, US"
576.23,6.3582,0.8156,0.2187,0.9079,0,0,64,6,5,0.9642,15,0,0,0,1,0.8794,1,0,0,0.7172,0.0,1,USR-0111,Unknown Vendor,clothing,offshore
366.96,5.908,0.2924,1.8803,3.1406,0,0,34,3,10,1.1141,11,2,0,0,1,0.4101,0,0,0,0.1199,0.0,0,USR-0188,Target,food,"San Francisco, US"
182.11,5.2101,-0.1697,-1.19,0.4429,0,0,287,15,9,0.5304,3,1,0,1,0,0.3355,0,1,1,-0.0569,-0.1697,0,USR-0199,McDonald's,travel,"Chicago, US"
1674.35,7.4238,3.5609,3.0692,4.0941,1,0,201,7,14,1.0933,4,3,0,1,0,0.01,1,0,1,0.0356,3.5609,0,USR-0172,Amazon,utilities,anonymous
1629.48,7.3966,3.4487,0.3385,-0.1383,1,0,144,15,35,1.8494,16,2,0,0,1,0.01,0,1,1,0.0345,0.0,0,USR-0008,Walmart,travel,"San Francisco, US"
1121.08,7.0229,2.1777,-0.7443,-0.378,1,0,139,6,3,1.32,17,1,0,0,1,0.01,0,1,1,0.0218,0.0,0,USR-0175,Shell Gas,electronics,"New York, US"
102.79,4.6424,-0.368,2.0952,-1.4924,0,0,144,15,20,3.1932,10,4,0,0,1,0.704,1,0,0,-0.2591,-0.0,0,USR-0035,Wire Transfer Co,food,anonymous
393.68,5.9781,0.3592,4.26,-3.9005,0,0,32,15,12,2.2996,1,2,0,1,0,0.8361,0,0,0,0.3003,0.3592,0,USR-0081,Casino Royal,healthcare,"San Francisco, US"
212.28,5.3626,-0.0943,2.5316,-4.3442,0,0,60,15,13,0.517,13,0,0,0,1,0.7207,0,1,0,-0.068,-0.0,0,USR-0164,Unknown Vendor,crypto,"Chicago, US"
96.83,4.5832,-0.3829,4.6134,-2.1851,0,0,129,5,5,1.2253,7,6,1,0,0,0.2726,1,1,0,-0.1044,-0.0,0,USR-0050,Netflix,travel,Unknown Location
545.5,6.3035,0.7388,2.5297,-1.7622,0,0,113,15,20,0.5527,17,4,0,0,1,0.2495,0,0,0,0.1843,0.0,0,USR-0104,Walmart,clothing,"Chicago, US"
885.73,6.7875,1.5893,-6.5822,2.3792,0,0,158,15,9,0.9502,5,1,0,1,0,0.0777,1,0,1,0.1235,1.5893,1,USR-0132,Walmart,healthcare,Unknown Location
518.53,6.2529,0.6713,-0.7052,1.15,0,0,87,1,3,1.0558,6,3,0,0,0,0.4889,0,1,1,0.3282,0.0,0,USR-0002,Target,crypto,"New York, US"
896.59,6.7997,1.6165,2.4749,0.3042,0,0,73,6,12,1.1946,2,0,0,1,0,0.2729,0,0,0,0.4411,1.6165,0,USR-0134,Netflix,food,"San Francisco, US"
1298.39,7.1697,2.621,2.3555,-1.0518,1,0,55,3,5,2.3914,0,6,1,1,0,0.232,0,0,1,0.6081,2.621,0,USR-0054,Target,food,"New York, US"
952.89,6.8605,1.7572,2.2178,-1.4057,0,0,132,6,6,2.3775,6,0,0,0,0,0.5513,1,1,1,0.9687,0.0,0,USR-0106,Casino Royal,travel,offshore
272.73,5.6121,0.0568,3.9206,-2.2832,0,0,144,15,12,1.3459,3,1,0,1,0,0.01,1,0,0,0.0006,0.0568,0,USR-0004,Uber,food,Unknown Location
835.8,6.7296,1.4645,-0.7063,0.63,0,0,130,15,6,0.6373,20,6,1,0,0,0.0637,0,1,1,0.0933,0.0,0,USR-0054,Uber,crypto,"San Francisco, US"
746.84,6.6172,1.2421,-2.719,-2.7835,0,0,151,15,13,1.627,5,3,0,1,0,0.4094,0,0,1,0.5085,1.2421,0,USR-0191,Uber,food,"New York, US"
507.77,6.232,0.6444,-0.7715,-0.4907,0,0,138,0,3,1.026,6,1,0,0,0,0.6137,1,1,0,0.3955,0.0,0,USR-0146,Wire Transfer Co,travel,Unknown Location
140.05,4.9491,-0.2749,-2.4926,3.3078,0,0,49,15,11,0.9303,2,1,0,1,0,0.1136,0,0,1,-0.0312,-0.2749,0,USR-0044,Uber,utilities,"Austin, US"
195.73,5.2818,-0.1357,-2.4163,4.1431,0,0,58,6,9,0.9151,8,3,0,0,0,0.3165,1,0,0,-0.0429,-0.0,1,USR-0162,Amazon,utilities,anonymous
458.76,6.1307,0.5219,0.1352,-0.8024,0,0,48,3,5,0.784,6,3,0,0,0,0.4246,0,0,0,0.2216,0.0,0,USR-0190,Target,retail,"Seattle, US"
420.7,6.0443,0.4268,1.0627,-2.55,0,0,80,11,20,0.7881,11,5,1,0,0,0.2194,0,0,0,0.0936,0.0,0,USR-0014,Netflix,food,"Austin, US"
1352.45,7.2104,2.7561,-1.5767,3.0819,1,0,84,1,12,0.5218,2,0,0,1,0,0.5841,1,0,0,1.6098,2.7561,1,USR-0095,PawnShop Plus,healthcare,offshore
875.53,6.776,1.5638,1.1585,-2.773,0,0,221,15,7,1.9138,16,6,1,0,0,0.01,0,0,1,0.0156,0.0,0,USR-0048,Netflix,food,"New York, US"
1143.75,7.0429,2.2344,0.1682,3.1427,1,0,154,10,3,1.4006,2,1,0,1,0,0.01,1,0,0,0.0223,2.2344,0,USR-0015,Target,clothing,Unknown Location
1306.37,7.1758,2.6409,0.9688,1.4095,1,0,63,2,3,2.2938,5,0,0,1,0,0.2873,0,0,0,0.7587,2.6409,0,USR-0200,Walmart,food,"Austin, US"
745.98,6.616,1.24,3.3258,1.2169,0,0,156,9,14,1.9669,5,1,0,1,0,0.5033,1,0,0,0.6241,1.24,0,USR-0190,Target,food,offshore
1016.72,6.9253,1.9168,2.0332,1.4175,1,0,45,15,19,0.8508,4,0,0,1,0,0.619,1,1,0,1.1865,1.9168,0,USR-0040,CryptoBridge,travel,Unknown Location
188.76,5.2458,-0.1531,0.0704,-2.7009,0,0,68,4,5,0.6906,19,3,0,0,0,0.1241,0,0,0,-0.019,-0.0,0,USR-0082,Target,utilities,"New York, US"
985.54,6.8942,1.8388,1.8878,-2.5042,0,0,147,0,3,2.364,8,5,1,0,0,0.4533,0,1,1,0.8335,0.0,0,USR-0111,Netflix,crypto,"San Francisco, US"
118.24,4.7811,-0.3294,-1.1718,2.1141,0,0,97,11,13,1.3391,1,1,0,1,0,0.442,0,0,0,-0.1456,-0.3294,1,USR-0053,Netflix,healthcare,"Chicago, US"
189.32,5.2487,-0.1517,0.358,-0.3169,0,0,196,10,15,2.1525,8,0,0,0,0,0.4183,1,1,0,-0.0635,-0.0,1,USR-0024,Shell Gas,gambling,offshore
930.98,6.8373,1.7024,-5.0155,2.6082,0,0,77,7,15,3.28,3,2,0,1,0,0.4401,1,0,0,0.7492,1.7024,1,USR-0154,Netflix,utilities,offshore
1026.17,6.9346,1.9404,-0.5659,1.0452,1,0,222,15,12,1.5842,13,1,0,0,1,0.01,1,0,0,0.0194,0.0,0,USR-0188,Starbucks,retail,Unknown Location
2229.11,7.7098,4.9478,2.4191,-3.0453,1,0,83,6,10,0.6578,5,2,0,1,0,0.0704,0,0,0,0.3483,4.9478,0,USR-0124,Amazon,utilities,"Chicago, US"
1123.22,7.0248,2.183,-0.6318,0.1125,1,0,53,13,14,1.4989,10,5,1,0,0,0.2027,0,1,1,0.4425,0.0,0,USR-0041,Netflix,electronics,"Seattle, US"
361.44,5.8929,0.2786,-3.9454,1.0538,0,0,82,6,3,1.0803,0,2,0,1,0,0.7668,0,0,0,0.2136,0.2786,1,USR-0157,CryptoBridge,utilities,"Austin, US"
1113.65,7.0163,2.1591,4.0355,-0.0213,1,0,97,2,5,2.3717,6,2,0,0,0,0.1419,0,0,0,0.3064,0.0,0,USR-0015,Shell Gas,food,"Seattle, US"
256.1,5.5495,0.0153,-2.8314,0.2107,0,0,39,13,12,1.716,2,6,1,1,0,0.01,0,0,0,0.0002,0.0153,0,USR-0045,Netflix,food,"Seattle, US"
1349.94,7.2086,2.7499,0.1575,-2.5045,1,0,146,8,4,1.2882,14,4,0,0,1,0.4082,0,1,1,1.1225,0.0,0,USR-0065,Starbucks,travel,"Austin, US"
1047.73,6.9553,1.9943,2.4497,0.832,1,0,29,3,25,1.0979,15,6,1,0,0,0.01,1,1,0,0.0199,0.0,0,USR-0089,Uber,crypto,offshore
655.03,6.4862,1.0126,5.0901,4.9299,0,0,114,11,9,2.1849,23,1,0,1,0,0.3218,1,0,0,0.3259,1.0126,0,USR-0071,Walmart,clothing,anonymous
1031.05,6.9393,1.9526,0.2336,-4.1479,1,0,89,12,16,1.1306,6,4,0,0,0,0.0884,0,0,1,0.1726,0.0,0,USR-0009,Starbucks,clothing,"San Francisco, US"
828.3,6.7206,1.4457,-0.054,0.7547,0,0,153,3,11,0.837,0,3,0,1,0,0.4822,0,0,0,0.6971,1.4457,0,USR-0088,Uber,clothing,"New York, US"
451.15,6.114,0.5029,-1.0195,3.7896,0,0,153,7,12,2.1895,11,1,0,0,1,0.99,1,1,1,0.4979,0.0,1,USR-0129,CryptoBridge,travel,anonymous
1524.04,7.3298,3.1851,1.1113,-2.0154,1,0,66,15,13,0.5913,8,0,0,0,0,0.01,0,0,1,0.0319,0.0,0,USR-0136,Target,retail,"San Francisco, US"
488.75,6.1939,0.5969,0.6481,-3.508,0,0,43,15,14,1.1982,2,0,0,1,0,0.99,0,1,0,0.5909,0.5969,0,USR-0063,Casino Royal,crypto,"Seattle, US"
117.12,4.7717,-0.3322,1.0605,4.2196,0,0,68,3,16,1.3105,17,4,0,0,1,0.1899,1,0,0,-0.0631,-0.0,0,USR-0139,Shell Gas,clothing,Unknown Location
899.38,6.8028,1.6234,-1.0438,-0.2286,0,0,200,9,7,0.7455,2,3,0,1,0,0.4853,0,1,1,0.7878,1.6234,0,USR-0081,Amazon,gambling,"Seattle, US"
95.15,4.5659,-0.3871,1.1955,0.4852,0,0,22,8,16,1.4273,11,5,1,0,0,0.2166,1,0,0,-0.0838,-0.0,0,USR-0136,Starbucks,utilities,anonymous
765.61,6.642,1.289,-0.1325,2.4631,0,0,60,5,17,2.283,10,4,0,0,1,0.3198,0,1,1,0.4122,0.0,0,USR-0163,Uber,crypto,"San Francisco, US"
1617.78,7.3894,3.4194,1.6969,-2.8577,1,0,79,0,7,1.0924,17,6,1,0,0,0.3274,0,1,1,1.1195,0.0,0,USR-0163,Amazon,travel,"Seattle, US"
985.2,6.8939,1.838,-2.3687,0.258,0,0,64,10,6,1.6273,15,1,0,0,1,0.1984,0,0,1,0.3647,0.0,0,USR-0033,Uber,food,"New York, US"
1627.97,7.3957,3.4449,1.7057,0.7519,1,0,148,4,9,0.623,1,3,0,1,0,0.4562,1,1,0,1.5716,3.4449,0,USR-0123,Uber,gambling,Unknown Location
924.55,6.8304,1.6864,-2.3009,0.8763,0,0,254,15,11,0.5708,16,1,0,0,1,0.0612,0,1,1,0.1032,0.0,0,USR-0005,Starbucks,electronics,"Chicago, US"
818.76,6.709,1.4219,-0.3438,-1.441,0,0,169,15,12,0.8084,5,4,0,1,0,0.1137,0,0,1,0.1617,1.4219,0,USR-0041,Starbucks,utilities,"New York, US"
1386.41,7.2352,2.841,1.7118,-1.7563,1,0,65,0,3,0.7478,15,5,1,0,0,0.2395,0,1,0,0.6804,0.0,0,USR-0028,Starbucks,electronics,"New York, US"
545.51,6.3036,0.7388,-0.903,-0.8814,0,0,67,15,14,0.759,6,3,0,0,0,0.1774,0,0,1,0.1311,0.0,0,USR-0135,Amazon,food,"Seattle, US"
782.79,6.6641,1.332,1.7288,1.9633,0,0,36,15,18,0.926,1,2,0,1,0,0.8458,1,1,0,1.1266,1.332,0,USR-0072,Unknown Vendor,gambling,anonymous
390.41,5.9698,0.351,-0.7008,1.8449,0,0,134,15,16,1.1626,1,1,0,1,0,0.99,1,1,1,0.3475,0.351,1,USR-0012,Casino Royal,electronics,anonymous
1073.09,6.9792,2.0577,0.5657,0.1513,1,0,56,15,23,2.8526,9,4,0,0,1,0.498,1,1,0,1.0247,0.0,0,USR-0162,Starbucks,crypto,anonymous
747.33,6.6178,1.2433,0.2636,-0.1257,0,0,193,15,15,1.6827,10,0,0,0,1,0.01,0,1,1,0.0124,0.0,0,USR-0033,Netflix,electronics,"Chicago, US"
1134.59,7.0349,2.2115,-1.4182,1.0153,1,0,53,3,4,0.5158,12,2,0,0,1,0.0511,0,0,0,0.113,0.0,1,USR-0048,Uber,utilities,"New York, US"
616.68,6.426,0.9167,3.0997,-0.7169,0,0,31,1,10,0.6997,5,3,0,1,0,0.01,0,0,0,0.0092,0.9167,0,USR-0151,Shell Gas,healthcare,"Chicago, US"
365.25,5.9033,0.2881,0.5611,1.9141,0,0,23,5,11,0.5034,14,4,0,0,1,0.01,1,0,0,0.0029,0.0,0,USR-0062,Starbucks,utilities,anonymous
1608.32,7.3836,3.3958,-0.015,0.4406,1,0,167,15,13,1.168,9,0,0,0,1,0.01,0,1,1,0.034,0.0,0,USR-0037,Walmart,gambling,"San Francisco, US"
392.23,5.9744,0.3556,0.1279,0.1198,0,0,112,1,11,1.6262,1,2,0,1,0,0.5705,0,1,1,0.2029,0.3556,0,USR-0099,Unknown Vendor,crypto,"Chicago, US"
1300.53,7.1713,2.6263,1.3131,1.3089,1,0,263,8,6,0.7416,2,0,0,1,0,0.2342,1,0,0,0.6151,2.6263,0,USR-0172,McDonald's,utilities,anonymous
1074.06,6.9801,2.0601,0.608,1.1068,1,0,21,1,8,0.5384,3,2,0,1,0,0.1268,1,0,0,0.2612,2.0601,0,USR-0104,Target,healthcare,Unknown Location
2900.69,7.973,6.6267,2.4379,-3.293,1,0,133,7,16,0.683,1,0,0,1,0,0.01,0,1,1,0.0663,6.6267,0,USR-0035,McDonald's,crypto,"New York, US"
788.6,6.6715,1.3465,-3.8485,2.6274,0,0,104,14,10,0.9743,1,2,0,1,0,0.1676,0,1,0,0.2257,1.3465,1,USR-0193,Starbucks,crypto,"Chicago, US"
453.52,6.1192,0.5088,-4.5968,3.0549,0,0,94,5,21,0.7957,8,4,0,0,0,0.99,0,1,0,0.5037,0.0,1,USR-0101,CryptoBridge,electronics,"Chicago, US"
1472.39,7.2953,3.056,0.9722,0.4785,1,0,135,2,14,1.3036,9,2,0,0,1,0.3046,1,1,1,0.9309,0.0,0,USR-0175,Shell Gas,gambling,offshore
619.62,6.4307,0.924,0.6637,-3.2379,0,0,136,13,13,2.4087,7,6,1,0,0,0.1411,0,0,1,0.1304,0.0,0,USR-0131,Shell Gas,utilities,"San Francisco, US"
1385.3,7.2344,2.8382,1.9315,-2.531,1,0,85,1,9,1.162,1,6,1,1,0,0.3956,0,0,1,1.1228,2.8382,0,USR-0001,Uber,healthcare,"Austin, US"
833.78,6.7272,1.4594,-3.3063,-0.7742,0,0,80,5,11,0.9051,14,4,0,0,1,0.3905,1,0,0,0.5699,0.0,0,USR-0005,McDonald's,healthcare,offshore
346.39,5.8504,0.241,1.818,-2.86,0,0,85,9,11,1.148,1,5,1,1,0,0.0743,0,0,1,0.0179,0.241,0,USR-0142,Walmart,retail,"Austin, US"
415.18,6.0311,0.413,-0.445,1.3946,0,0,24,3,22,0.9015,4,6,1,1,0,0.135,1,0,0,0.0558,0.413,0,USR-0103,Amazon,food,Unknown Location
813.93,6.7031,1.4098,-4.0323,3.1505,0,0,119,6,10,0.6866,7,6,1,0,0,0.4465,1,0,0,0.6295,0.0,1,USR-0027,Netflix,utilities,offshore
1230.06,7.1156,2.4502,-1.3745,1.1435,1,0,163,6,10,0.8344,10,1,0,0,1,0.99,0,0,1,2.4257,0.0,1,USR-0137,Unknown Vendor,healthcare,"New York, US"
